ingredient_name,rating,functions,benefits
Choline,BEST,Part of the vitamin B complex and a constituent of many other biologically important molecules.,"Hydration, Anti-Aging"
Chondroitin Sulfate,BEST,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent.",
Chondrus Crispus,BEST,"Chondrus crispus, also known as red algae, is a type of seaweed that's a rich source of many nutrients for skin.","Hydration, Anti-Aging"
Chrysanthellum Indicum (Golden Chamomile) Extract,BEST,"Chrysanthellum indicum is a form of chamomile that, like other forms, has soothing properties when applied to skin.","Soothing, Anti-Aging"
Chrysanthemum Extract,BEST,Can have soothing benefit for skin.,"Soothing, Anti-Aging"
Citrullus Lanatus (Watermelon) Fruit Extract,BEST,"This plant extract, like most types of melon, is a rich source of antioxidants, including lycopene.","Anti-Aging, Hydration"
Citrullus Lanatus (Watermelon) Seed Oil,BEST,This non-fragrant plant oil from watermelon seeds is a rich source of fatty acids that soothe and hydrate skin. It’s also antioxidant-rich and the oil tends to be more stable than others.,"Anti-Aging, Hydration"
Clitoria Ternatea (Butterfly Pea) Flower Extract,BEST,Skin-calming ingredient with beneficial anti-aging compounds. This flower’s natural color can impart a lavender to deep blue hue.,"Soothing, Anti-Aging"
Coccinia Indica (Ivy Gourd) Fruit Extract,BEST,Ivy gourd is a fruit that acts as a natural skin-conditioning agent.,"Hydration, Anti-Aging"
Cocoa Butter,BEST,"Oil extracted from cocoa beans, used as an emollient.","Hydration, Anti-Aging"
Cocoa Extract,BEST,Can have antioxidant properties.,Anti-Aging
Coconut Oil,BEST,Non-volatile plant kernel oil that has emollient properties for skin.,Hydration
Cocos Nucifera (Coconut) Fruit Extract,BEST,"The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins.","Hydration, Anti-Aging"
Cocos Nucifera (Coconut) Oil,BEST,Non-volatile plant oil that has emollient properties for skin.,Hydration
Cocus Nucifera,BEST,"The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins.",Hydration
Coenzyme Q10,BEST,"Also known as ubiquinone, it is a vitamin-like, fat-soluble substance present in skin.","Anti-Aging, Soothing"
Coffea Arabica (Coffee) Fruit Extract,BEST,"Coffee fruit extract is an excellent antioxidant when applied to skin, or consumed orally.",Anti-Aging
Coffea Arabica (Coffee) Seed Oil,BEST,"The concentrated oil from the coffee bean plant, whichis green, not dark brown as this color doesn't occur until coffee beans are roasted. Research on this oil's effect on skin...","Anti-Aging, Hydration"
Coffea Arabica Seed Extract,BEST,"Coffea arabica is the coffee plant, and there is research showing that coffee extract has antioxidant properties.",Anti-Aging
Colloidal Oatmeal,BEST,"The United States Food & Drug Administration (FDA) categorizes this as a skin protectant, allowing it to be listed as an active ingredient on skin care products.",Soothing
Corallina Officinalis Extract,BEST,This type of red seaweed has antioxidant and emollient properties in skin care products.,"Hydration, Anti-Aging"
Cornflower,BEST,Can have soothing properties for skin.,"Soothing, Anti-Aging"
Corn Oil,BEST,Emollient oil with properties similar to those of other nonfragrant plant oils.,Hydration
Cranberry Seed Extract,BEST,Extract of the cranberry fruit. Natural components known as proanthocyanidins are responsible for this extract's antioxidant and skin-soothing properties.,Anti-Aging
Cranberry Seed Oil,BEST,Extract derived from the seed of this red berry; the oil (which is not red) has antioxidant ability.,"Anti-Aging, Hydration"
Creatine,BEST,"This amino acid is found in the human body and research shows it improves the appearance of fine lines, wrinkles, and boosts firmness.",Hydration
Cucumis Melo (Melon) Fruit Extract,BEST,"More commonly known as cantaloupe or honeydew melon, Cucumis melo is a fruit that is a rich source of vitamins A and C.",Anti-Aging
Cucurbita Pepo Seed Extract,BEST,The extract of a type of squash that is a very good source of antioxidant cartenoids.,Anti-Aging
Cucurbitea Peponis,BEST,The extract of a type of squash that is a very good source of antioxidant cartenoids.,Anti-Aging
Curcubita pepo (pumpkin) seed extract,BEST,Type of squash that is a very good source of antioxidant cartenoids.,"Anti-Aging, Hydration"
Curcuma Longa Root,BEST,"This root is the source of the spice turmeric, known for its health benefits.","Soothing, Anti-Aging"
Curcumin,BEST,Antioxidant spice that can be effective in soothing skin.,"Soothing, Anti-Aging"
Daidzein,BEST,An antioxidant abundant in soy foods. It offers numerous anti-aging benefits when applied to skin.,Anti-Aging
D-Alpha-Tocopherol,BEST,Antioxidant that's considered the most optimal form of vitamin E.,"Anti-Aging, Evens Skin Tone"
Decarboxy Carnosine HCL,BEST,A biomimetic peptide (meaning it is designed to emulate a natural peptide found in the body) known for its antioxidant power and anti-aging effects.,Hydration
Diethylamino Hydroxybenzoyl Hexyl Benzoate,BEST,Synthetic sunscreen agent with excellent photostability that helps protect skin from UVA rays and visible signs of aging.,Anti-Aging
Diglycerin,BEST,Humectant that boosts hydration within skin. Can also be used as a solvent or to improve foaming properties of a formula.,Hydration
Diheptyl Succinate,BEST,Synthetic texture enhancer that’s lightweight and emollient and is sometimes used as a replacement for silicones in cosmetics. It is considered renewable and biodegradable.,Hydration
Dimethicone,BEST,"An skin-softening silicone known for its permeable (think breathable) barrier that helps skin retain hydration. It has a uniquely silky, non-greasy feel.",Hydration
Dimethylmethoxy Chromanol,BEST,"A synthetic, potent antioxidant that’s structurally similar to vitamin E. It helps mitigate environmental damage, even skin tone and tackle many visible signs of aging.","Anti-Aging, Evens Skin Tone"
Dipalmitoyl Hydroxyproline,BEST,A peptide blend that supports skin's own collagen by helping to firm and reduce the look of lines on skin and lips.,"Hydration, Anti-Aging"
Dipeptide-2,BEST,A short-chain synthetic peptide offering skin conditioning and repairing benefits that may also play a role in visibly reducing puffy eyes.,Anti-Aging
Dipotassium Glycyrrhizate,BEST,"A component of licorice, this ingredient has soothing and dark spot fading properties when applied topically.","Soothing, Dark Spot Fading"
Dipotassium Glycyrrhizinate,BEST,"A component of licorice, this ingredient has soothing and dark spot fading properties when applied topically.","Soothing, Dark Spot Fading"
Docosahexaenoic Acid,BEST,"A type of omega-3 fatty acid, this ingredient has emollient and texture enhancing properties in skin care products.",
D-Panthenol,BEST,Unknown,"Hydration, Soothing"
Drometrizole Trisiloxane,BEST,This UVA and UVB filter also known as Mexoryl XL is not approved yet for widespread use in the U.S.,Anti-Aging
Dunaliella Salina Extract,BEST,A type of micro-algae that's known for being adaptable and able to survive even in harsh natural conditions. It's a rich source of beta-carotene.,"Anti-Aging, Soothing"
Ecamsule,BEST,Sunscreen ingredient that provides UVA protection.,
Echium Plantagineum Seed Oil,BEST,Non-fragrant replenishing plant oils rich in phospholipids and omega fatty acids. Helps to improve skin’s environmental defenses.,"Anti-Aging, Hydration"
Eclipta Prostrata Extract,BEST,"An annual plant common to Korea, Eclipta prostrata has potent antioxidant and skin-calming properties.",
Ectoin,BEST,Amino acid derivative that primarily serves as a hydrator and exhibits protective properties against pollution and UV rays (though ectoin is not a sunscreen).,"Hydration, Anti-Aging, Evens Skin Tone"
Egg Yolk,BEST,"Egg yolk is mostly water and lipids (fats), especially cholesterol, which makes it a good emollient.",Hydration
Eicosapentaenoic Acid,BEST,Fatty acid derived from salmon oil; it is a good emollient and replenishing ingredient for skin.,Hydration
Elaeis Guineensis Oil,BEST,"A soothing source of antioxidants, including vitamin E. As an non-fragrant plant oil, it also has emollient properties for skin.","Hydration, Anti-Aging"
Elderberry,BEST,"Also known as black elderberry or Sambucus nigra, this plant has potent antioxidant properties.",Anti-Aging
Ellagic Acid,BEST,Potent antioxidant compound found in pomegranate and most berries.,Anti-Aging
Emblica Officinalis (Gooseberry) Fruit Extract,BEST,"Also known as amla, the fruit extract from gooseberry is among the richest plant sources of antioxidants.",Anti-Aging
Emblica Officinalis Fruit Extract,BEST,"Also known as amla, the fruit extract from this berry is among the richest plant sources of antioxidants, particularly the phenolic class of antioxidants which include flavonoids like gallic acid, quercetin, and rutin.",Anti-Aging
Engelhardtia Chrysolepis Leaf Extract,BEST,"The leaves from this China-native plant have been shown to help improve and maintain skin’s firmness, resilience, and barrier, resulting in a smoother, tighter look and feel.",Anti-Aging
Ensulizole,BEST,"Ensulizole is a water soluble sunscreen ingredient that works in the UVB range, offering no UVA protection.",
Entada Phaseoloides Bark/Seed Extract,BEST,"Plant extract whose various parts have notable antioxidant, soothing, and skin-protecting properties.","Anti-Aging, Hydration, Soothing"
Enteromorpha Compressa Extract,BEST,Extract from green algae.,Anti-Aging
Epigallocatechin Gallate,BEST,"A component of green tea that’s well known for its potent antioxidant abilities for skin, as well as its properties as a soothing ingredient.","Anti-Aging, Oil Control"
Epilobium Angustifolium (Willow Herb) Extract,BEST,Plant extract that is known to be soothing and delivers antioxidant effects on skin.,"Soothing, Anti-Aging"
Epilobium Angustifolium Extract,BEST,Plant extract that is known to be soothing and delivers antioxidant effects on skin.,Soothing
Epilobium Fleischeri (Willowherb) Extract,BEST,"Epilobium fleischeri, also known as Alpine willowherb, is a plant extract has documented skin-calming and antioxidant benefits.",Soothing
Epilobium Fleischeri Extract,BEST,"Also known as Alpine willowherb, this plant extract has documented skin-calming and antioxidant benefits.",Soothing
Equol,BEST,"A potent, naturally-derived antioxidant that helps defend skin from environmental aggressors and plays a role in addressing the consequences of estrogen loss in skin.",Anti-Aging
Ergothioneine,BEST,"Potent, mushroom-derived antioxidant that boosts skin’s environmental defenses and ability to look younger in multiple ways.","Anti-Aging, Dark Spot Fading"
Eriobotrya Japonica,BEST,The extract from this subtropical flower has antioxidant properties similar to those of green tea.,Anti-Aging
Ester-C,BEST,Trade name for a combination form of vitamin C that contains mainly calcium ascorbate.,Anti-Aging
Ethylhexyl Methoxycinnamate,BEST,Sunscreen agent used to protect skin primarily from the sun's UVB rays.,Anti-Aging
Ethylhexyl Olivate,BEST,An emollient derived from olive oil that helps prevent vital hydrating substances in skin from escaping. Leaves skin feeling soft and enhances spreadability of the formula.,Hydration
Ethylhexyl Salicylate,BEST,A synthetic UV filter that works primarily in the UVB range but can also contribute some UVA protection. Also known as octisalate.,Anti-Aging
Ethylhexyl Triazone,BEST,Ethylhexyl triazone is a synthetic sunscreen ingredient that helps protect skin from UVB rays. It is not currently approved as a sunscreen agent in the United States and Canada but is available in other markets  in up to 5% concentration.,Anti-Aging
Euterpe Oleracea (Acai) Sterols,BEST,Euterpe oleracea (acai) sterols are the sterol portion derived from the acai plant.,Hydration
Euterpe Oleracea Fruit Extract,BEST,"Extract from the acai berry, which is a potent source of skin-beneficial antioxidants, including ferulic acid and epicatechin.","Anti-Aging, Soothing"
Euterpe Oleracea Sterols,BEST,"The sterol portion derived from the acai plant, which has soothing and hydrating benefits for skin.",Hydration
Evening Primrose Oil,BEST,Can have significant soothing and emollient benefits for skin.,"Anti-Aging, Hydration"
Evodia Rutaecarpa Extract,BEST,A species of Asian tree whose fragrant fruit functions as a good soothing agent.,Soothing
Fatty Acid,BEST,Substance typically found in plant and animal lipids (fat). Fatty acids include compounds such as glycerides.,Hydration
Ferulic Acid,BEST,"Superstar antioxidant that defends skin from environmental assault + sun damage, while also helping stabilize other antioxidants in a formula. Also helps contribute to more even skin tone.",Anti-Aging
Ficus Carica (Fig) Fruit Extract,BEST,Fig extract is a rich source of a class of antioxidants known as phenolic compounds. It also enhances skin's hydration by preventing water loss from skin's uppermost layers.,Hydration
